Rank,Player Name,Points per game
1,Shai Gilgeous-Alexander,33.0
2,Giannis Antetokounmpo,30.4
3,Nikola Jokić,29.1
4,Anthony Edwards,27.4
5,Jayson Tatum,27.1

Rank,Player Name,Rebounds per game
1,Domantas Sabonis,14.1
2,Karl-Anthony Towns,13.1
3,Nikola Jokić,12.8
4,Walker Kessler,12.5
5,Ivica Zubac,12.5

Rank,Player Name,Steals per game
1,Dyson Daniels,3.0
2,Kris Dunn,1.8
3,Shai Gilgeous-Alexander,1.8
4,Nikola Jokić,1.8
5,Tyrese Maxey,1.8

Rank,Player Name,Blocks per game
1,Walker Kessler,2.4
2,Brook Lopez,1.9
3,Daniel Gafford,1.9
4,Myles Turner,1.8
5,Jaren Jackson Jr.,1.7
